listing_id,price(dollars),nbhood_borough,nbhood_zone,host_name,last_review,description,room_type
2595,225.0,Manhattan, Midtown,Jennifer,2019-05-21,Skylit Midtown Castle,entire home/apt
3831,89.0,Brooklyn, Clinton Hill,LisaRoxanne,2019-07-05,Cozy Entire Floor of Brownstone,entire home/apt
5099,200.0,Manhattan, Murray Hill,Chris,2019-06-22,Large Cozy 1 BR Apartment In Midtown East,entire home/apt
5178,79.0,Manhattan, Hell's Kitchen,Shunichi,2019-06-24,Large Furnished Room Near B'way,private room
5238,150.0,Manhattan, Chinatown,Ben,2019-06-09,Cute & Cozy Lower East Side 1 bdrm,entire home/apt
5295,135.0,Manhattan, Upper West Side,Lena,2019-06-22,Beautiful 1br on Upper West Side,entire home/apt
5441,85.0,Manhattan, Hell's Kitchen,Kate,2019-06-23,Central Manhattan/near Broadway,private room
5803,89.0,Brooklyn, South Slope,Laurie,2019-06-24,"Lovely Room 1, Garden, Best Area, Legal rental",private room
6021,85.0,Manhattan, Upper West Side,Claudio,2019-07-05,Wonderful Guest Bedroom in Manhattan for SINGLES,private room
6848,140.0,Brooklyn, Williamsburg,Allen & Irina,2019-06-29,Only 2 stops to Manhattan studio,entire home/apt
7097,215.0,Brooklyn, Fort Greene,Jane,2019-06-28,Perfect for Your Parents + Garden,entire home/apt
7322,140.0,Manhattan, Chelsea,Doti,2019-07-01,Chelsea Perfect,private room
7726,99.0,Brooklyn, Crown Heights,Adam And Charity,2019-06-22,Hip Historic Brownstone Apartment with Backyard,entire home/apt
8024,130.0,Brooklyn, Park Slope,Lisel,2019-07-01,CBG CtyBGd HelpsHaiti rm#1:1-4,private room
8025,80.0,Brooklyn, Park Slope,Lisel,2019-01-01,CBG Helps Haiti Room#2.5,private room
8110,110.0,Brooklyn, Park Slope,Lisel,2019-07-02,CBG Helps Haiti Rm #2,private room
8490,120.0,Brooklyn, Bedford-Stuyvesant,Nathalie,2019-06-19,"MAISON DES SIRENES1,bohemian apartment",entire home/apt
8505,60.0,Brooklyn, Windsor Terrace,Gregory,2019-06-23,Sunny Bedroom Across Prospect Park,private room
9518,44.0,Manhattan, Inwood,Shon,2019-06-15,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room
9657,180.0,Manhattan, East Village,Dana,2019-04-19,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt
9668,50.0,Manhattan, Harlem,Ssameer Or Trip,2019-06-01,front room/double bed,private room
9704,52.0,Manhattan, Harlem,Teri,2019-06-14,Spacious 1 bedroom in luxe building,private room
9782,55.0,Brooklyn, Greenpoint,Andrea,2019-06-15,Loft in Williamsburg Area w/ Roof,private room
9783,50.0,Manhattan, Harlem,Ssameer Or Trip,2019-07-01,back room/bunk beds,private room
10452,70.0,Brooklyn, Bedford-Stuyvesant,Angela,2019-05-12,Large B&B Style rooms,private room
